"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Album Genres","Label","Copyrights"
"spotify:track:2bycbj5vekSZpQSumgMfaC","juicy sweatsuits (feat. Juicy J)","spotify:artist:2cFrymmkijnjDg9SS92EPM, spotify:artist:5gCRApTajqwbnHHPbr2Fpi","blackbear, Juicy J","spotify:album:2l3HIzSVnACXyTc2SduFOI","digital druglord","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2017-04-21","https://i.scdn.co/image/ab67616d0000b2738b41182625f5b10d7f0ccc0b","1","6","183943","","true","0","spotify:user:recks11","2020-10-23T17:50:47Z","electropop,pop,pop rap,crunk,dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,trap","","Beartrap","C 2017 Beartrap, P 2017 Beartrap"
"spotify:track:13JyykwyYQ3T5QxxL34ukQ","chateau","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:30QoUTsSdpQuZunPNFsLnm","digital druglord","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2017-04-21","https://i.scdn.co/image/ab67616d0000b27318e8b6e355542ddf38562055","1","9","212926","https://p.scdn.co/mp3-preview/cdbdf578634ce7d16b4df27dac7193c1e7c14241?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:recks11","2020-10-23T17:50:47Z","electropop,pop,pop rap","","Alamo / Blackbear P&D","C © 2017 Beartrap, LLC, under exclusive license to UMG Recordings, Inc., P A Beartrap/Alamo/Interscope Release; ℗ 2017 Beartrap, LLC, under exclusive license to UMG Recordings, Inc."
"spotify:track:4pwaIYFQinYkgkOE7WnbGc","Somebody's Watching Me","spotify:artist:3xs0LEzcPXtgNfMNcHzLIP","Rockwell","spotify:album:62IoLipyBA9qBXrln3rzsy","John Morales Presents Club Motown","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-01-01","https://i.scdn.co/image/ab67616d0000b2730a9d097a7ddbb8a577c93c5e","2","2","296466","https://p.scdn.co/mp3-preview/84193055faea8a7484992d3049cf669cfc7c0044?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:recks11","2020-10-23T17:50:47Z","","","UMC (Universal Music Catalogue)","C © 2014 Island Records, a division of Universal Music Operations Limited, P This Compilation ℗ 2014 UMC, a division of Universal Music Operations Ltd."
"spotify:track:5yamjs92dcayRVlNuY116G","Say It Again","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","H.E.R.","spotify:album:0pV0Mx07aMApIpF19oSQgY","H.E.R.","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","H.E.R.","2017-10-20","https://i.scdn.co/image/ab67616d0000b273b5d9c8de465654c20d77305c","1","5","172240","https://p.scdn.co/mp3-preview/27d4ca1f51cc9fc4558c85426167933982be45c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,pop,r&b","","MBK Entertainment/RCA Records","P (P) 2017 RCA Records, a division of Sony Music Entertainment"
"spotify:track:1Mza2sr6tPhy6jjI3HB9fW","Hold Me Down","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2017-08-25","https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037","1","3","231267","https://p.scdn.co/mp3-preview/60467d743d9c8ad7183964db8765e86df2ce5318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:recks11","2020-10-23T17:50:47Z","canadian contemporary r&b,pop","","Golden Child Recordings","C 2017 Golden Child Recordings, P 2017 Golden Child Recordings"
"spotify:track:1TPLsNVlofwX1txcE9gZZF","We Find Love","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2017-08-25","https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037","1","6","254919","https://p.scdn.co/mp3-preview/358af7a1a0db3594bbd8d6f2376367b90dda6a4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:recks11","2020-10-23T17:50:47Z","canadian contemporary r&b,pop","","Golden Child Recordings","C 2017 Golden Child Recordings, P 2017 Golden Child Recordings"
"spotify:track:45u2zzDgu1N5AG1SC0KBSJ","Obsessive","spotify:artist:6cN9XwPMj9bWzJ32GC6V7v","Mila J","spotify:album:5KDGJgb6zYIDI6QNnHt7bb","11.18","spotify:artist:6cN9XwPMj9bWzJ32GC6V7v","Mila J","2017-11-16","https://i.scdn.co/image/ab67616d0000b27398479fb8e28a93ed0d979843","1","3","197407","","true","0","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,hip pop,pop r&b,r&b,trap queen,urban contemporary","","Silent Partner Entertainment/November Reign","C 2017 Silent Partner Entertainment/November Reign, P 2017 Silent Partner Entertainment/November Reign"
"spotify:track:4AtZRwSR8BOTTQg5ihSggt","PRBLMS","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","3","246773","https://p.scdn.co/mp3-preview/37933b2a5f9c6939565d3be0a1f7d1b8b4bf1322?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap","","LVRN Records","C © 2016 LVRN/Interscope Records, P ℗ 2016 LVRN/Interscope Records"
"spotify:track:0zYkf4pCiGAhEp5Z3iUkml","'Til It's Over","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:7z4UqvGprXWpQ0wo8ldLDA","'Til It's Over","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","2018-04-06","https://i.scdn.co/image/ab67616d0000b27326a2275798608d4612a4f82a","1","1","202080","https://p.scdn.co/mp3-preview/76bcd963e18011a040c344629e323669f0d498df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:recks11","2020-10-23T17:50:47Z","escape room","","2018 OBE, LLC.","C 2018 2018 OBE, LLC., P 2018 2018 OBE, LLC."
"spotify:track:1YS7nYXwjevkzsjNFfI8PA","Crash","spotify:artist:5BO8aIDUyNtvnq98qMIs85","Mack Wilds","spotify:album:1bTyhuo2fpYqiNJOrG28fY","AfterHours","spotify:artist:5BO8aIDUyNtvnq98qMIs85","Mack Wilds","2017-04-07","https://i.scdn.co/image/ab67616d0000b2733d5b6b2b800f99678b865210","1","12","197097","https://p.scdn.co/mp3-preview/2943b077b8b6cb4260a0f44ae0a3b6c816e166e7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","24","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b","","The Ninety Five Percent / EMPIRE","C 2017 The Ninety Five Percent / EMPIRE, P 2017 The Ninety Five Percent / EMPIRE"
