Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2WS2N8wgs9Drd5MNJLJxkf,"3Gm5F95VdRxW3mqCn8RPBJ,2OaHYHb2XcFPvqL3VsyPzU","SUGARPARENTS (feat. Rico Nasty)","ONEPOINTFIVE","Aminé,Rico Nasty",2018-08-15,119920,47,spotify:user:recks11,2020-10-23T18:16:31Z,"hip hop,pop rap,portland hip hop,rap,underground hip hop,dance pop,dmv rap,escape room,pop,trap queen",0.936,0.646,5,-6.325,1,0.206,0.122,0,0.112,0.696,121.034,4
2q4F6OpQgx9umNB9uGFPYo,"3Gm5F95VdRxW3mqCn8RPBJ","RATCHET SATURN GIRL","ONEPOINTFIVE","Aminé",2018-08-15,146573,59,spotify:user:recks11,2020-10-23T18:16:31Z,"hip hop,pop rap,portland hip hop,rap,underground hip hop",0.538,0.605,3,-5.413,1,0.119,0.0378,0,0.159,0.657,39.497,4
4X70hLzIDfY5T2BcsOcv6Q,"3Gm5F95VdRxW3mqCn8RPBJ","REDMERCEDES","REDMERCEDES","Aminé",2017-03-03,169706,61,spotify:user:recks11,2020-10-23T18:16:31Z,"hip hop,pop rap,portland hip hop,rap,underground hip hop",0.816,0.63,1,-5.729,0,0.183,0.00639,0.0304,0.173,0.599,101.997,4
1l5B9wkjOW9718ZfhepOCd,"3jK9MiCrA42lLAdMGUZpwa","The Bird","Malibu","Anderson .Paak",2016-01-15,217773,51,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room",0.488,0.645,11,-7.226,1,0.421,0.0838,0.000355,0.154,0.595,148.733,4
5dnAki4SIAcedhAPdF5l2h,"3jK9MiCrA42lLAdMGUZpwa","Heart Don't Stand a Chance","Malibu","Anderson .Paak",2016-01-15,312360,55,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room",0.685,0.545,7,-6.189,1,0.061,0.173,0.0000144,0.237,0.506,94.061,4
6XBzkHEjJKr3US1IH9Su1g,"3jK9MiCrA42lLAdMGUZpwa,07d5etnpjriczFBB8pxmRe","The Waters","Malibu","Anderson .Paak,BJ The Chicago Kid",2016-01-15,174253,49,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room,alternative r&b,chicago rap,hip hop,indie soul,neo soul,rap,underground hip hop",0.671,0.678,10,-6.171,0,0.362,0.128,0,0.298,0.718,91.456,4
7gZzWI6yC0Wb8xLcNYoYIg,"3jK9MiCrA42lLAdMGUZpwa,5IcR3N7QB1j6KBL8eImZ8m","Am I Wrong","Malibu","Anderson .Paak,ScHoolboy Q",2016-01-15,253520,55,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop",0.729,0.799,11,-7.378,0,0.0779,0.0588,0.00218,0.0948,0.532,115.04,4
7DpWrUnIr2vWAXztBGcoWM,"3jK9MiCrA42lLAdMGUZpwa,6NL31G53xThQXkFs7lDpL5","Without You","Malibu","Anderson .Paak,Rapsody",2016-01-15,199346,44,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room,alternative hip hop,alternative r&b,hip hop,north carolina hip hop,trap queen,underground hip hop",0.626,0.916,7,-8.39,0,0.44,0.019,0,0.386,0.804,83.322,4
0Tovb9LxiQIyKxInGFw3IT,"3jK9MiCrA42lLAdMGUZpwa,0NbfKEOTQCcwd6o7wSDOHI","Room in Here","Malibu","Anderson .Paak,The Game",2016-01-15,239173,47,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.643,0.894,6,-4.765,0,0.374,0.269,0.00000473,0.257,0.459,86.985,4
6h5IlvRJ2ZNPloCOdzUmyW,"3jK9MiCrA42lLAdMGUZpwa","Come Down","Malibu","Anderson .Paak",2016-01-15,176693,62,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room",0.82,0.908,10,-6.151,0,0.124,0.328,0.00155,0.296,0.919,98.381,4
2Ph4HPNPSuxmB29vwKJbGO,"3jK9MiCrA42lLAdMGUZpwa","Silicon Valley","Malibu","Anderson .Paak",2016-01-15,244840,45,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room",0.545,0.451,3,-9.166,0,0.194,0.302,0,0.382,0.502,115.21,4
0lG7iyNSstVOLV6faMIHdD,"3jK9MiCrA42lLAdMGUZpwa","6 Summers","Oxnard","Anderson .Paak",2018-11-16,282986,55,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room",0.649,0.587,5,-10.5,0,0.316,0.0774,0,0.377,0.513,92.871,4
3LfnrqODEqXpp7s974cT4z,"3jK9MiCrA42lLAdMGUZpwa","Saviers Road","Oxnard","Anderson .Paak",2018-11-16,144666,55,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room",0.539,0.631,10,-7.673,1,0.393,0.00899,0,0.132,0.139,88.426,4
0zYkf4pCiGAhEp5Z3iUkml,"3jK9MiCrA42lLAdMGUZpwa","'Til It's Over","'Til It's Over","Anderson .Paak",2018-04-06,202080,55,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room",0.745,0.647,7,-9.494,0,0.119,0.175,0.000309,0.0529,0.395,144.014,4
7c3SbTuufigBWURcICnAWy,"3jK9MiCrA42lLAdMGUZpwa,2YZyLoL8N0Wb9xBt1NhZWg","Tints (feat. Kendrick Lamar)","Oxnard","Anderson .Paak,Kendrick Lamar",2018-11-16,268400,66,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room,conscious hip hop,hip hop,rap,west coast rap",0.805,0.833,1,-6.73,0,0.12,0.0859,0,0.0578,0.703,109.076,4
