number,name,artist,album,genres,duration,released
6,Redbone,Childish Gambino,"""Awaken, My Love!""","atl hip hop,hip hop,pop rap,rap",326933,2016-12-02
12,You,"Birdman, Jacquees",Lost At Sea 2,"atl hip hop,dance pop,pop,pop r&b,pop rap,r&b,rap,urban contemporary",218573,2018-11-16
7,Sativa,Jhené Aiko,Trip,"alternative r&b,dance pop,pop,r&b,urban contemporary,melodic rap,pop rap,trap",276960,2017-09-22
1,Ride Of Your Life,Tinashe,Ride Of Your Life,"alternative r&b,dance pop,electropop,metropopolis,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary",213828,2016-03-09
1,Throw A Fit,Tinashe,Throw A Fit,"alternative r&b,dance pop,electropop,metropopolis,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary",158757,2018-07-27
2,Halo,Beyoncé,I AM...SASHA FIERCE,"dance pop,pop,post-teen pop,r&b",261640,2008-11-17
9,The Need to Know (feat. SZA),Wale,The Album About Nothing,"dance pop,gangster rap,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary,pop,pop rap",216831,2015-03-31
7,Shot Clock,Ella Mai,Ella Mai,"dance pop,pop,pop r&b,pop rap,post-teen pop,r&b,rap,uk contemporary r&b,urban contemporary",201609,2018-10-12
3,Dontcha,The Internet,Feel Good,"alternative r&b,indie soul,lgbtq+ hip hop,neo soul",201640,2013-09-20
1,Consideration,Rihanna,ANTI (Deluxe),"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary,pop,pop rap",161066,2016-01-28
1,The Distance (feat. Ty Dolla $ign),Mariah Carey,The Distance (feat. Ty Dolla $ign),"dance pop,pop,r&b,urban contemporary,pop rap,r&b,trap,trap soul",206807,2018-10-18
1,Crush,Duckwrth,Crush,"alternative r&b,escape room,indie r&b,underground hip hop",135013,2019-08-30
5,A Long Walk,Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1","funk,hip pop,neo soul,quiet storm,r&b,soul,urban contemporary",280973,2000-07-18
8,Killing Me Softly With His Song,Fugees,The Score,"east coast hip hop,gangster rap,hip hop,new jersey rap,rap",298773,1996-01-01
20,Don't Think They Know,Chris Brown,X (Deluxe Version),"dance pop,pop,pop rap,r&b,rap,dance pop,hip hop,hip pop,neo soul,pop,pop rap,r&b,urban contemporary",237973,2014-09-12
4,EX,Kiana Ledé,Selfless,"alternative r&b,chill r&b,dance pop,pop,pop r&b,post-teen pop,r&b,urban contemporary",222386,2018-07-13
1,Be Your Girl,Jayla Darden,Onto Something,"alternative r&b,chill r&b,indie r&b,pop r&b,trap soul",190000,2019-11-05
1,Beautiful,Snoop Dogg,The Best Of Snoop Dogg,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap,pop rap",299146,2005-01-01
2,Aphrodite,RINI,After the Sun,"alternative r&b,australian r&b,bedroom soul,chill r&b,pop",271000,2018-10-31
4,Bad Influence,Omah Lay,Get Layd,nigerian pop,138652,2020-05-22
1,Slide (with Gunna),Coi Leray,Now or Never,"pop r&b,trap queen,atl hip hop,melodic rap,rap,trap",208822,2020-08-14
